"","country","population","lifeexp","childmort","income","gdpcapita","chdperwoman","healthspend","co2","water","popdensity","murder","continent"
"33","Central African Republic",4390000,47.8,150,1200,488,5.22,18.2,0.0602,67.6,"7.04",297,"Africa"
"34","Chad",1.2e+07,56.5,150,1730,893,6.59,30.6,0.0834,72.9,"9.49",346,"Africa"
"35","Chile",17100000,78.6,8.7,21300,12800,1.88,947,4.18,99.6,"22.9",789,"Americas"
"37","Colombia",45200000,77.9,18.5,11800,6340,2.01,472,1.69,99.1,"40.8",18000,"Americas"
"38","Comoros",690000,65.9,87.1,2880,1320,4.92,33.2,0.234,88.6,"371",47.8,"Africa"
"39","Congo, Dem. Rep.",64600000,58.8,115,866,334,6.47,15.8,0.0304,68.8,"28.5",2530,"Africa"
"40","Congo, Rep.",4270000,60.9,62.5,5220,3070,4.95,72.3,0.459,86,"12.5",182,"Africa"
"41","Costa Rica",4580000,79.5,10.1,16400,8230,1.92,811,1.62,99.5,"89.6",367,"Americas"
"42","Cote d'Ivoire",20500000,57.4,107,2940,1210,5.22,59.8,0.296,89,"64.6",420,"Africa"
"43","Croatia",4330000,76.8,5.47,24400,13900,1.47,1070,4.87,99.7,"77.3",73.9,"Europe"
"44","Cuba",11200000,78.5,6.15,7570,5730,1.64,607,3.02,97,"105",620,"Americas"
